"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5074","6. Пользователь может добавить свою статью в Избранное","UI_tests","Wed Nov 19 13:21:00 UTC 2025","passed","Wed Nov 19 13:21:05 UTC 2025","","ui/tests.spec.js","",""
"","102","36. Обновляем прогресс выполнения заданий для guid не из БД","API_tests","Wed Nov 19 13:20:35 UTC 2025","passed","Wed Nov 19 13:20:35 UTC 2025","Fancy a break? Restore your session","api/tests.spec.js","",""
"","69","16. Обновляем несуществующий todo запросом PUT, 400","API_tests","Wed Nov 19 13:20:34 UTC 2025","passed","Wed Nov 19 13:20:34 UTC 2025","Creation Challenges with PUT","api/tests.spec.js","",""
"","36","12. Создаем новое todo cо слишком длинным description, 400","API_tests","Wed Nov 19 13:20:33 UTC 2025","passed","Wed Nov 19 13:20:33 UTC 2025","Creation Challenges with POST","api/tests.spec.js","",""
"","67","21. Обновляем todo запросом PUT без поля title, 400","API_tests","Wed Nov 19 13:20:34 UTC 2025","passed","Wed Nov 19 13:20:34 UTC 2025","Update Challenges with PUT","api/tests.spec.js","",""
"","68","19. Обновляем todo запросом PUT","API_tests","Wed Nov 19 13:20:34 UTC 2025","passed","Wed Nov 19 13:20:34 UTC 2025","Update Challenges with PUT","api/tests.spec.js","",""
"","33","46. Пытаемся использовать недопустимый метод PATCH в хедерах метода POST /heartbeat","API_tests","Wed Nov 19 13:20:35 UTC 2025","passed","Wed Nov 19 13:20:35 UTC 2025","HTTP Method Override Challenges","api/tests.spec.js","",""
"","6171","4. Пользователь может удалить свою статью","UI_tests","Wed Nov 19 13:20:49 UTC 2025","passed","Wed Nov 19 13:20:56 UTC 2025","","ui/tests.spec.js","",""
"","69","17. Обновляем существующий todo запросом POST","API_tests","Wed Nov 19 13:20:34 UTC 2025","passed","Wed Nov 19 13:20:34 UTC 2025","Update Challenges with POST","api/tests.spec.js","",""
"","140","9. Создаем новое todo","API_tests","Wed Nov 19 13:20:33 UTC 2025","passed","Wed Nov 19 13:20:33 UTC 2025","Creation Challenges with POST","api/tests.spec.js","",""
"","34","42. Пытаемся использовать недопустимый метод PATCH для /heartbeat","API_tests","Wed Nov 19 13:20:35 UTC 2025","passed","Wed Nov 19 13:20:35 UTC 2025","Status Code Challenges","api/tests.spec.js","",""
"","37","10. Создаем новое todo c невалидным doneStatus, 400","API_tests","Wed Nov 19 13:20:33 UTC 2025","passed","Wed Nov 19 13:20:33 UTC 2025","Creation Challenges with POST","api/tests.spec.js","",""
"","33","41. Пытаемся использовать недопустимый метод DELETE для /heartbeat","API_tests","Wed Nov 19 13:20:35 UTC 2025","passed","Wed Nov 19 13:20:35 UTC 2025","Status Code Challenges","api/tests.spec.js","",""
"","32","50. Пытаемся получить notes с неверным authtoken через GET /secret/note","API_tests","Wed Nov 19 13:20:35 UTC 2025","passed","Wed Nov 19 13:20:35 UTC 2025","Authorization Challenges","api/tests.spec.js","",""
"","74","5. Запрашиваем todo по id","API_tests","Wed Nov 19 13:20:33 UTC 2025","passed","Wed Nov 19 13:20:33 UTC 2025","GET Challenges","api/tests.spec.js","",""
"","40","4. Получаем ошибку, если эндпоинт todo в ед.ч, 404","API_tests","Wed Nov 19 13:20:33 UTC 2025","passed","Wed Nov 19 13:20:33 UTC 2025","GET Challenges","api/tests.spec.js","",""
"","37","11. Создаем новое todo cо слишком длинным title, 400","API_tests","Wed Nov 19 13:20:33 UTC 2025","passed","Wed Nov 19 13:20:33 UTC 2025","Creation Challenges with POST","api/tests.spec.js","",""
