"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","581","6. Запрашиваем todo по несуществующему id, 404","API_tests","Wed Nov 19 09:16:20 MSK 2025","passed","Wed Nov 19 09:16:21 MSK 2025","GET Challenges","api/tests.spec.js","",""
"","289","43. Пытаемся использовать недопустимый метод TRACE для /heartbeat","API_tests","Wed Nov 19 09:16:37 MSK 2025","passed","Wed Nov 19 09:16:37 MSK 2025","Status Code Challenges","api/tests.spec.js","",""
"","1421","9. Создаем новое todo","API_tests","Wed Nov 19 09:16:22 MSK 2025","passed","Wed Nov 19 09:16:23 MSK 2025","Creation Challenges with POST","api/tests.spec.js","",""
"","6584","3. Пользователь может редактировать свою статью","UI_tests","Wed Nov 19 09:16:31 MSK 2025","passed","Wed Nov 19 09:16:37 MSK 2025","","ui/tests.spec.js","",""
"","289","49. Пытаемся получить authtoken с корректными кредами через POST /secret/token","API_tests","Wed Nov 19 09:16:38 MSK 2025","passed","Wed Nov 19 09:16:39 MSK 2025","Authentication Challenges","api/tests.spec.js","",""
"","303","14. Создаем новое todo cо слишком объемным payload в поле description, 413","API_tests","Wed Nov 19 09:16:24 MSK 2025","passed","Wed Nov 19 09:16:25 MSK 2025","Creation Challenges with POST","api/tests.spec.js","",""
"","290","47. Пытаемся использовать недопустимый метод TRACE в хедерах метода POST /heartbeat","API_tests","Wed Nov 19 09:16:38 MSK 2025","passed","Wed Nov 19 09:16:38 MSK 2025","HTTP Method Override Challenges","api/tests.spec.js","",""
"","578","22. Обновляем todoId запросом PUT, 400","API_tests","Wed Nov 19 09:16:29 MSK 2025","passed","Wed Nov 19 09:16:29 MSK 2025","Update Challenges with PUT","api/tests.spec.js","",""
"","294","29. Проверяем, что список todos возвращается без хедера Accept","API_tests","Wed Nov 19 09:16:32 MSK 2025","passed","Wed Nov 19 09:16:32 MSK 2025","Accept Challenges","api/tests.spec.js","",""
"","870","35. Обновляем прогресс выполнения заданий по guid","API_tests","Wed Nov 19 09:16:32 MSK 2025","passed","Wed Nov 19 09:16:33 MSK 2025","Fancy a break? Restore your session","api/tests.spec.js","",""
